"","inflacao","pib_per_capita","crescimento_pib","emprego"
"Togo",-0.98188986894308,619.066370987019,4.4494073919864,98.3420000076294
"Thailand",0.66563189313507,6578.18886493522,4.02408578077439,99.3679999709129
"Timor-Leste",0.557215537430373,2000.60119103569,-9.15398647807237,97.0369999408722
"Tunisia",5.30884839565841,3494.31886448228,1.82467531936202,84.621000289917
"Tonga",7.44224546617505,4217.47650679527,2.69999999999999,98.9969999790192
"Turkey",11.1443110840764,10499.7455731688,7.44119329129511,89.1809997558594
"Trinidad and Tobago",1.8803844018353,16076.0820382225,-1.90000000000001,97.183000087738
"Tanzania",5.31871605228926,1004.84112066441,6.78568011405196,98.0609999895096
"Ukraine",14.4383227488749,2640.67567655839,2.46605345179482,90.4899997711182
"Uganda",5.20971705914218,631.522719792278,3.86302375685661,98.3020000457764
"United States",2.13011000365963,59927.9298339535,2.21701033035224,95.6449999809265
"Uruguay",6.21809382561863,16437.2448692778,2.59133868710855,92.1100001335144
"St. Vincent and the Grenadines",2.15333648840511,7149.63086622199,0.859946222072466,80.2689990997314
"Vietnam",3.52025688811618,2365.62166567374,6.8122456596398,98.1139999628067
"Vanuatu",3.08452624403546,2976.1071160324,4.50068030474749,94.5770001411438
"Samoa",1.74989677484724,4307.80546397731,2.70479622366904,91.6759996414185
"South Africa",5.18108223263743,6120.5068002413,1.31674486048743,72.6730003356934
"Zambia",6.57731154205652,1534.86537052245,3.40316885119505,92.7940001487732
"Zimbabwe",0.909733289628101,1602.40350699048,4.70403534833559,95.0570001602173
